epoch,loss,train acc,val acc
0,1.8949012,0.31204927,0.36909056
1,1.6995596,0.39185196,0.40504807
2,1.6215098,0.41997194,0.42397836
3,1.5661199,0.44233274,0.44060495
4,1.524909,0.45653045,0.44911858
5,1.4944296,0.4664964,0.45703125
6,1.4611357,0.47803986,0.46524438
7,1.4392022,0.48818108,0.46784857
8,1.4169474,0.49724558,0.46905047
9,1.3985479,0.5030549,0.47435898
10,1.3800886,0.509991,0.4770633
11,1.3626611,0.5153746,0.4765625
12,1.3499213,0.5180539,0.48557693
13,1.3341004,0.52483976,0.4861779
14,1.3195021,0.5290715,0.48788062
final test acc: 0.48878205
