epoch,loss,train acc,val acc
0,1.8949012,0.31204927,0.36909056
1,1.6963186,0.39327925,0.40614983
2,1.6172909,0.42352766,0.42327723
3,1.5606402,0.44591346,0.43479568
4,1.5168753,0.46128806,0.44881812
5,1.4834019,0.47445914,0.45793268
6,1.4584552,0.48364884,0.45793268
7,1.4368458,0.4916366,0.45843348
8,1.4154855,0.50122696,0.46083733
9,1.398101,0.505609,0.46754807
10,1.3826907,0.511844,0.47335738
11,1.3703723,0.5159505,0.4823718
12,1.3582362,0.51802886,0.48687902
13,1.3463334,0.52263623,0.49048477
14,1.3357443,0.5269932,0.49228767
final test acc: 0.49389023
