epoch,loss,train acc,val acc
0,2.0255365,0.2623197,0.29807693
1,1.8230399,0.34417567,0.3611779
2,1.7432967,0.37354767,0.36738783
3,1.6778506,0.39963943,0.3726963
4,1.6331769,0.41841948,0.3919271
5,1.5948958,0.4313151,0.41366187
6,1.5590501,0.44641426,0.39813703
7,1.5328445,0.45472756,0.41626602
8,1.5037237,0.46511918,0.39833733
9,1.4770772,0.4723057,0.41546473
10,1.4576187,0.47929186,0.41155848
11,1.4368973,0.4895082,0.41796875
12,1.4161894,0.4964443,0.4210737
13,1.3963258,0.5028796,0.4420072
14,1.378784,0.5103415,0.4238782
final test acc: 0.42628205
