epoch,loss,train acc,val acc
0,2.0245192,0.26216948,0.27594152
1,1.8260474,0.34344953,0.3570713
2,1.7382609,0.37720352,0.38341346
3,1.6783456,0.40034056,0.3689904
4,1.6323425,0.41879508,0.38090944
5,1.5941765,0.43334335,0.38902244
6,1.5588751,0.44621393,0.4039463
7,1.5278475,0.45552886,0.39102563
8,1.5061371,0.46153846,0.3976362
9,1.4764838,0.47318208,0.42227563
10,1.458884,0.48076922,0.4007412
11,1.439489,0.48720452,0.40815306
12,1.4152521,0.49584335,0.44621393
13,1.4001921,0.50215346,0.40504807
14,1.3831713,0.5065355,0.41416267
final test acc: 0.41816908
