epoch,loss,train acc,val acc
0,2.0255365,0.2623197,0.29807693
1,1.8151779,0.3473057,0.36258012
2,1.7227384,0.380634,0.38531652
3,1.6599497,0.40797776,0.3795072
4,1.6092646,0.42698318,0.40645033
5,1.5659195,0.44483674,0.4173678
6,1.5299723,0.4559295,0.41316107
7,1.4977558,0.46867487,0.42558092
8,1.4699908,0.4783654,0.4351963
9,1.4457558,0.48632813,0.43940306
10,1.4238547,0.49451622,0.44891828
11,1.4039767,0.50080127,0.4589343
12,1.3864602,0.50766224,0.4627404
13,1.3704221,0.5138722,0.46804887
14,1.3555993,0.5191306,0.47165465
final test acc: 0.47876602
